"SalePrice","LotFrontage","LotArea","Street","LotShape","YearBuilt","BsmtUnfSF","TotalBsmtSF","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF"
163990,65,8461,"Pave","Reg",2005,728,728,"Y",728,728,1456,0,0,2,1,3,1,8,1,2005,2,390,0
412500,110,13688,"Pave","IR1",2003,556,1572,"Y",1572,1096,2668,1,0,2,1,3,1,10,2,2003,3,726,400
126000,60,8160,"Pave","Reg",1940,444,756,"N",756,378,1134,1,0,1,1,3,1,7,0,1940,1,240,0
280000,109,14154,"Pave","Reg",2006,1063,1063,"Y",1071,1101,2172,0,0,2,1,3,1,9,1,2006,3,947,192
105000,51,6120,"Pave","Reg",1931,506,715,"Y",875,0,875,1,0,1,0,2,1,5,0,1931,1,180,48
133000,34,4058,"Pave","Reg",1998,0,723,"Y",767,0,767,1,0,1,0,1,1,4,0,1998,1,367,120
142000,65,8450,"Pave","Reg",1968,281,1056,"Y",1056,0,1056,1,0,1,0,3,1,6,1,1968,1,304,0
169000,50,9638,"Pave","Reg",1919,804,804,"Y",1699,748,2447,0,0,2,0,4,1,10,1,1969,1,336,272
187500,73,9590,"Pave","IR1",2003,82,868,"Y",1146,0,1146,1,0,2,0,3,1,6,1,2003,2,438,160
270000,85,14536,"Pave","Reg",2002,316,1616,"Y",1629,0,1629,1,0,2,0,3,1,9,1,2002,3,808,0
257500,110,14442,"Pave","Reg",1957,291,1477,"Y",1839,0,1839,1,0,2,0,3,1,7,2,1957,2,416,0
324000,32,10846,"Pave","IR1",1993,100,1719,"Y",1719,0,1719,2,0,1,1,1,1,6,2,1993,2,473,122
91000,21,1596,"Pave","Reg",1973,0,462,"Y",526,462,988,1,0,1,0,2,1,5,0,1973,1,297,120
140000,80,9600,"Pave","Reg",1950,736,856,"Y",1112,556,1668,0,0,1,1,3,1,6,0,1950,1,271,0
153500,90,8100,"Pave","Reg",1948,1221,1559,"Y",1559,0,1559,1,0,1,0,2,1,5,0,1948,2,812,0
105500,59,7227,"Pave","Reg",1954,832,832,"Y",832,0,832,0,0,1,0,2,1,4,0,1962,2,528,0
266000,63,8849,"Pave","IR1",2005,1656,1684,"Y",1684,0,1684,0,0,2,0,2,1,6,1,2005,2,564,495
176000,63,7875,"Pave","Reg",1995,1237,1237,"Y",1253,0,1253,0,0,2,0,3,1,6,1,1995,2,402,220
110000,60,10440,"Pave","Reg",1910,440,440,"Y",682,548,1230,0,0,1,1,2,1,5,0,1966,2,440,74
177000,124,11512,"Pave","IR1",1959,300,1019,"Y",1357,0,1357,1,0,1,0,2,1,5,1,1959,1,312,0
160000,80,8800,"Pave","Reg",1964,698,1251,"Y",1251,0,1251,1,0,1,0,3,1,6,2,1964,1,461,0
148000,57,8846,"Pave","IR1",1996,572,870,"Y",914,0,914,0,0,1,0,2,1,5,0,1998,2,576,0
79500,50,9100,"Pave","Reg",1930,742,742,"Y",779,0,935,0,0,1,0,2,1,4,0,1988,1,308,0
131000,60,6000,"Pave","Reg",1941,360,735,"Y",869,349,1218,0,1,1,0,3,1,6,1,2003,2,440,0
158000,63,13072,"Pave","Reg",2004,217,1158,"Y",1158,0,1158,1,0,1,1,3,1,5,0,2006,2,576,0
111000,75,10215,"Pave","Reg",1954,372,864,"Y",948,0,948,0,0,1,0,3,1,5,0,1954,1,248,0
126175,49,5820,"Pave","Reg",1955,906,1162,"Y",1163,0,1163,1,0,1,0,3,1,6,0,1955,1,220,142
107500,60,6600,"Pave","Reg",1892,994,994,"N",1378,994,2372,0,0,2,0,4,2,11,0,1985,1,432,0
207500,47,16321,"Pave","IR1",1957,207,1484,"Y",1600,0,1600,1,0,1,0,2,1,6,2,1957,1,319,288
210000,85,13175,"Pave","Reg",1978,589,1542,"Y",2073,0,2073,1,0,2,0,3,1,7,2,1978,2,500,349
268000,95,15865,"Pave","IR1",1970,1043,2217,"Y",2217,0,2217,1,0,2,0,4,1,8,1,1970,2,621,81
341000,96,10542,"Pave","Reg",1993,138,1311,"Y",1325,1093,2418,1,0,2,1,3,1,9,1,1993,3,983,250
186500,93,10261,"Pave","IR1",2000,936,936,"Y",962,830,1792,1,0,2,1,3,1,8,1,2000,2,451,0
193000,68,9179,"Pave","IR1",1999,240,873,"Y",882,908,1790,1,0,2,1,3,1,7,0,1999,2,588,0
260000,90,9900,"Pave","Reg",1993,360,1347,"Y",1372,1274,2646,1,0,2,1,4,1,9,1,1993,3,656,340
252000,85,10574,"Pave","Reg",2005,1082,1082,"Y",1082,871,1953,0,0,2,1,3,1,9,1,2005,3,1043,160
179000,65,8450,"Pave","Reg",2000,1349,1349,"Y",1349,0,1349,0,0,2,0,3,1,6,0,2000,2,539,120
183500,62,8244,"Pave","IR1",2004,840,840,"Y",840,880,1720,0,0,2,1,3,1,7,1,2004,2,440,100
153500,32,4500,"Pave","Reg",1998,36,1237,"Y",1337,0,1337,1,0,2,0,2,1,5,0,1998,2,405,0
185000,65,8450,"Pave","Reg",2003,638,1337,"Y",1337,0,1337,1,0,2,0,3,1,6,0,2003,2,531,0
202500,48,6955,"Pave","IR1",2005,1368,1368,"Y",1368,0,1368,0,0,2,0,2,1,6,1,2005,2,474,132
285000,85,10678,"Pave","Reg",1992,983,1683,"Y",2129,743,2872,0,0,2,1,4,1,9,1,1992,2,541,0
152000,80,10793,"Pave","Reg",1969,0,780,"Y",780,840,1620,0,0,2,1,4,1,7,0,1969,2,462,208
236000,80,9938,"Pave","Reg",1993,300,1050,"Y",1062,887,1949,1,0,2,1,3,1,8,1,1993,2,574,156
140000,80,9600,"Pave","Reg",1969,1164,1164,"Y",1164,0,1164,0,0,1,1,3,1,6,0,1969,2,528,0
274000,62,12677,"Pave","IR1",2003,300,1518,"Y",1518,0,1518,0,0,1,1,1,1,6,1,2003,2,588,185
348000,82,9452,"Pave","Reg",1997,322,1396,"Y",1407,985,2392,1,0,2,1,3,1,7,1,1997,3,870,0
276000,69,9588,"Pave","IR1",2007,1482,1482,"Y",1482,1092,2574,0,0,2,1,3,1,10,1,2007,3,868,0
118858,64,7018,"Pave","Reg",1979,0,0,"Y",1535,0,1535,0,0,2,0,4,2,8,0,1979,2,400,0
169990,65,10237,"Pave","Reg",2005,1288,1316,"Y",1316,0,1316,0,0,2,0,3,1,6,1,2005,2,397,100
153900,55,7892,"Pave","Reg",1993,899,1199,"Y",1199,0,1199,0,0,2,0,2,1,5,0,1993,2,530,0
151000,30,3182,"Pave","Reg",2004,600,600,"Y",600,600,1200,0,0,2,1,2,1,4,0,2004,2,480,0
214000,86,14598,"Pave","IR1",2007,894,894,"Y",894,1039,1933,0,0,2,1,4,1,9,1,2007,3,668,100
